monotonic_us,timestamp_us,lat_deg,lon_deg,week,timeOfWeek_s,insStatus,hdwStatus,alt_m,roll_rad,pitch_rad,yaw_rad,vel_U_m_s,vel_V_m_s,vel_W_m_s,ned_N_m,ned_E_m,ned_D_m
199658,1763331362611899,0.000000000,0.000000000,1,215462.866346,329745,33554432,0.000,1.402910,0.018721,-1.016851,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
206630,1763331362618871,0.000000000,0.000000000,1,215462.873346,329745,33554432,0.000,1.402904,0.018721,-1.016845,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
213627,1763331362625868,0.000000000,0.000000000,1,215462.880346,329745,33554432,0.000,1.402909,0.018717,-1.016830,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
220616,1763331362632858,0.000000000,0.000000000,1,215462.887346,329745,33554432,0.000,1.402911,0.018729,-1.016827,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
227762,1763331362640003,0.000000000,0.000000000,1,215462.894346,329745,33554432,0.000,1.402920,0.018741,-1.016837,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
234658,1763331362646899,0.000000000,0.000000000,1,215462.901346,329745,33554432,0.000,1.402923,0.018739,-1.016822,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
241635,1763331362653876,0.000000000,0.000000000,1,215462.908346,329745,33554432,0.000,1.402918,0.018734,-1.016809,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
248618,1763331362660859,0.000000000,0.000000000,1,215462.915346,329745,33554432,0.000,1.402926,0.018723,-1.016819,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
257886,1763331362670128,0.000000000,0.000000000,1,215462.922346,329745,33554432,0.000,1.402915,0.018717,-1.016804,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
262693,1763331362674934,0.000000000,0.000000000,1,215462.929346,329745,33554432,0.000,1.402918,0.018719,-1.016799,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
269668,1763331362681909,0.000000000,0.000000000,1,215462.936346,329745,33554432,0.000,1.402916,0.018719,-1.016788,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
276692,1763331362688933,0.000000000,0.000000000,1,215462.943346,329745,33554432,0.000,1.402920,0.018720,-1.016790,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
283826,1763331362696068,0.000000000,0.000000000,1,215462.950346,329745,33554432,0.000,1.402914,0.018711,-1.016793,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
290626,1763331362702867,0.000000000,0.000000000,1,215462.957346,329745,33554432,0.000,1.402913,0.018710,-1.016791,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
297765,1763331362710006,0.000000000,0.000000000,1,215462.964346,329745,33554432,0.000,1.402908,0.018720,-1.016786,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
304731,1763331362716973,0.000000000,0.000000000,1,215462.971346,329745,33554432,0.000,1.402914,0.018730,-1.016790,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
311704,1763331362723946,0.000000000,0.000000000,1,215462.978346,329745,33554432,0.000,1.402917,0.018718,-1.016777,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
318673,1763331362730914,0.000000000,0.000000000,1,215462.985346,329745,33554432,0.000,1.402925,0.018723,-1.016772,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
325657,1763331362737899,0.000000000,0.000000000,1,215462.992346,329745,33554432,0.000,1.402922,0.018724,-1.016766,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
332725,1763331362744967,0.000000000,0.000000000,1,215462.999346,329745,33554432,0.000,1.402923,0.018731,-1.016768,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
339678,1763331362751920,0.000000000,0.000000000,1,215463.006346,329745,33554432,0.000,1.402936,0.018740,-1.016767,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
346638,1763331362758880,0.000000000,0.000000000,1,215463.013346,329745,33554432,0.000,1.402942,0.018737,-1.016765,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
353635,1763331362765877,0.000000000,0.000000000,1,215463.020346,329745,33554432,0.000,1.402947,0.018734,-1.016753,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
360645,1763331362772887,0.000000000,0.000000000,1,215463.027346,329745,33554432,0.000,1.402942,0.018726,-1.016759,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
367769,1763331362780011,0.000000000,0.000000000,1,215463.034346,329745,33554432,0.000,1.402948,0.018730,-1.016757,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
374684,1763331362786925,0.000000000,0.000000000,1,215463.041346,329745,33554432,0.000,1.402952,0.018730,-1.016757,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
381660,1763331362793902,0.000000000,0.000000000,1,215463.048346,329745,33554432,0.000,1.402946,0.018724,-1.016752,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
388797,1763331362801039,0.000000000,0.000000000,1,215463.055346,329745,33554432,0.000,1.402935,0.018724,-1.016753,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
395715,1763331362807957,0.000000000,0.000000000,1,215463.062346,329745,33554432,0.000,1.402936,0.018734,-1.016737,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
402634,1763331362814875,0.000000000,0.000000000,1,215463.069346,329745,33554432,0.000,1.402945,0.018735,-1.016740,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
409664,1763331362821905,0.000000000,0.000000000,1,215463.076346,329745,33554432,0.000,1.402951,0.018739,-1.016739,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
