timestamp,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
1760390991343415,0.000000000,0.000000000,0.000,0.607956,0.042334,-0.943870,0.000000,0.000000,0.000000
1760390991350492,0.000000000,0.000000000,0.000,0.607971,0.042336,-0.943867,0.000000,0.000000,0.000000
1760390991357442,0.000000000,0.000000000,0.000,0.607983,0.042340,-0.943866,0.000000,0.000000,0.000000
1760390991364537,0.000000000,0.000000000,0.000,0.607976,0.042339,-0.943872,0.000000,0.000000,0.000000
1760390991371489,0.000000000,0.000000000,0.000,0.607978,0.042339,-0.943872,0.000000,0.000000,0.000000
1760390991378580,0.000000000,0.000000000,0.000,0.607975,0.042332,-0.943869,0.000000,0.000000,0.000000
1760390991385501,0.000000000,0.000000000,0.000,0.607970,0.042331,-0.943868,0.000000,0.000000,0.000000
1760390991392440,0.000000000,0.000000000,0.000,0.607964,0.042323,-0.943868,0.000000,0.000000,0.000000
1760390991399611,0.000000000,0.000000000,0.000,0.607951,0.042324,-0.943874,0.000000,0.000000,0.000000
1760390991406537,0.000000000,0.000000000,0.000,0.607944,0.042327,-0.943876,0.000000,0.000000,0.000000
1760390991413615,0.000000000,0.000000000,0.000,0.607949,0.042323,-0.943877,0.000000,0.000000,0.000000
1760390991420528,0.000000000,0.000000000,0.000,0.607947,0.042321,-0.943868,0.000000,0.000000,0.000000
1760390991427433,0.000000000,0.000000000,0.000,0.607946,0.042319,-0.943853,0.000000,0.000000,0.000000
1760390991434519,0.000000000,0.000000000,0.000,0.607942,0.042318,-0.943845,0.000000,0.000000,0.000000
1760390991441414,0.000000000,0.000000000,0.000,0.607952,0.042312,-0.943830,0.000000,0.000000,0.000000
1760390991448522,0.000000000,0.000000000,0.000,0.607950,0.042313,-0.943822,0.000000,0.000000,0.000000
1760390991455461,0.000000000,0.000000000,0.000,0.607947,0.042313,-0.943820,0.000000,0.000000,0.000000
1760390991462542,0.000000000,0.000000000,0.000,0.607953,0.042311,-0.943816,0.000000,0.000000,0.000000
1760390991469464,0.000000000,0.000000000,0.000,0.607955,0.042310,-0.943815,0.000000,0.000000,0.000000
1760390991476415,0.000000000,0.000000000,0.000,0.607962,0.042309,-0.943813,0.000000,0.000000,0.000000
1760390991483522,0.000000000,0.000000000,0.000,0.607964,0.042303,-0.943791,0.000000,0.000000,0.000000
1760390991490462,0.000000000,0.000000000,0.000,0.607962,0.042302,-0.943790,0.000000,0.000000,0.000000
1760390991497438,0.000000000,0.000000000,0.000,0.607957,0.042312,-0.943786,0.000000,0.000000,0.000000
1760390991504533,0.000000000,0.000000000,0.000,0.607954,0.042306,-0.943788,0.000000,0.000000,0.000000
1760390991511476,0.000000000,0.000000000,0.000,0.607949,0.042311,-0.943788,0.000000,0.000000,0.000000
1760390991518412,0.000000000,0.000000000,0.000,0.607955,0.042315,-0.943788,0.000000,0.000000,0.000000
1760390991525523,0.000000000,0.000000000,0.000,0.607951,0.042319,-0.943784,0.000000,0.000000,0.000000
1760390991532449,0.000000000,0.000000000,0.000,0.607955,0.042318,-0.943776,0.000000,0.000000,0.000000
1760390991539538,0.000000000,0.000000000,0.000,0.607961,0.042308,-0.943781,0.000000,0.000000,0.000000
1760390991546523,0.000000000,0.000000000,0.000,0.607962,0.042308,-0.943786,0.000000,0.000000,0.000000
1760390991553611,0.000000000,0.000000000,0.000,0.607958,0.042302,-0.943781,0.000000,0.000000,0.000000
1760390991560526,0.000000000,0.000000000,0.000,0.607958,0.042301,-0.943779,0.000000,0.000000,0.000000
1760390991567595,0.000000000,0.000000000,0.000,0.607970,0.042298,-0.943767,0.000000,0.000000,0.000000
1760390991574517,0.000000000,0.000000000,0.000,0.607978,0.042298,-0.943770,0.000000,0.000000,0.000000
1760390991581461,0.000000000,0.000000000,0.000,0.607972,0.042300,-0.943763,0.000000,0.000000,0.000000
1760390991588411,0.000000000,0.000000000,0.000,0.607968,0.042306,-0.943767,0.000000,0.000000,0.000000
1760390991595395,0.000000000,0.000000000,0.000,0.607969,0.042296,-0.943764,0.000000,0.000000,0.000000
1760390991602511,0.000000000,0.000000000,0.000,0.607972,0.042307,-0.943758,0.000000,0.000000,0.000000
1760390991609435,0.000000000,0.000000000,0.000,0.607968,0.042306,-0.943752,0.000000,0.000000,0.000000
1760390991616524,0.000000000,0.000000000,0.000,0.607972,0.042313,-0.943750,0.000000,0.000000,0.000000
1760390991623526,0.000000000,0.000000000,0.000,0.607976,0.042309,-0.943753,0.000000,0.000000,0.000000
