monotonic_us,timestamp_us,temperature_c,status_crit,status_high,status_low
215449676872,1763331362411592,21.6875,0,0,0
215459677958,1763331372412678,21.6875,1,0,0
215469678617,1763331382413337,21.8125,1,0,0
215479679274,1763331392413994,21.7500,1,0,0
215489679939,1763331402414659,21.7500,1,0,0
215499680624,1763331412415344,21.6875,1,0,0
215509681309,1763331422416029,21.7500,1,0,0
215519682122,1763331432416842,21.6875,1,0,0
215529682791,1763331442417511,21.7500,1,0,0
215539683454,1763331452418174,21.6875,1,0,0
215549684123,1763331462418844,21.7500,1,0,0
215559684757,1763331472419477,21.7500,1,0,0
215569685421,1763331482420141,21.7500,1,0,0
215579686089,1763331492420809,21.7500,1,0,0
215589686746,1763331502421466,21.7500,1,0,0
215599687408,1763331512422128,21.6875,1,0,0
215609688089,1763331522422809,21.7500,1,0,0
215619688758,1763331532423478,21.7500,1,0,0
215629689391,1763331542424112,21.7500,1,0,0
215639690049,1763331552424769,21.7500,1,0,0
215649690716,1763331562425436,21.7500,1,0,0
215659691377,1763331572426097,21.7500,1,0,0
215669692043,1763331582426763,21.6875,1,0,0
215679692707,1763331592427427,21.7500,1,0,0
215689693367,1763331602428087,21.7500,1,0,0
215699694002,1763331612428722,21.7500,1,0,0
215709694677,1763331622429397,21.8125,1,0,0
215719695326,1763331632430046,21.8125,1,0,0
215729695996,1763331642430716,21.6875,1,0,0
215739696676,1763331652431396,21.7500,1,0,0
215749697366,1763331662432086,21.7500,1,0,0
215759698024,1763331672432744,21.7500,1,0,0
215769698691,1763331682433411,21.7500,1,0,0
215779699376,1763331692434096,21.7500,1,0,0
215789700077,1763331702434797,21.7500,1,0,0
215799700767,1763331712435487,21.7500,1,0,0
215809701468,1763331722436188,21.7500,1,0,0
215819702152,1763331732436872,21.7500,1,0,0
215829702801,1763331742437521,21.7500,1,0,0
215839703461,1763331752438181,21.7500,1,0,0
215849704131,1763331762438851,21.7500,1,0,0
215859704756,1763331772439476,21.7500,1,0,0
215869705420,1763331782440140,21.6875,1,0,0
215879706084,1763331792440804,21.6875,1,0,0
215889706712,1763331802441432,21.7500,1,0,0
215899707377,1763331812442097,21.7500,1,0,0
215909708035,1763331822442755,21.7500,1,0,0
215919708697,1763331832443417,21.7500,1,0,0
215929709359,1763331842444079,21.6875,1,0,0
215939710010,1763331852444730,21.7500,1,0,0
215949710668,1763331862445388,21.6875,1,0,0
215959711335,1763331872446055,21.7500,1,0,0
215969711991,1763331882446711,21.7500,1,0,0
215979712691,1763331892447412,21.6875,1,0,0
215989713379,1763331902448099,21.7500,1,0,0
215999714038,1763331912448758,21.7500,1,0,0
216009714713,1763331922449433,21.7500,1,0,0
216019715380,1763331932450101,21.7500,1,0,0
216029716047,1763331942450767,21.7500,1,0,0
216039716703,1763331952451423,21.7500,1,0,0
216049717354,1763331962452074,21.7500,1,0,0
216059718016,1763331972452736,21.6875,1,0,0
216069718695,1763331982453415,21.7500,1,0,0
