monotonic_ns,timestamp_ns,time_s,status,pqr_P_rad_s,pqr_Q_rad_s,pqr_R_rad_s,acc_X_m_s2,acc_Y_m_s2,acc_Z_m_s2
45895577,1763493606744065377,377706.634346,4128768,-0.000978,0.000177,0.000655,0.364473,-9.744131,-0.796357
46886536,1763493606745056337,377706.635346,4128768,-0.000984,0.002249,-0.001396,0.366129,-9.739291,-0.797989
47864977,1763493606746034759,377706.636346,4128768,0.003549,0.000992,-0.002997,0.367555,-9.747341,-0.786715
48861381,1763493606747031163,377706.637346,4128768,0.001100,0.000587,-0.001778,0.369372,-9.742649,-0.802783
49998803,1763493606748168603,377706.638346,4128768,-0.004643,-0.002726,-0.002233,0.374149,-9.750568,-0.802630
50976984,1763493606749146785,377706.639346,4128768,0.002300,0.001014,0.000273,0.372653,-9.745772,-0.809129
51955296,1763493606750125096,377706.640346,4128768,-0.000173,-0.001071,-0.000557,0.364497,-9.740863,-0.780549
52934885,1763493606751104667,377706.641346,4128768,-0.003816,-0.002726,-0.001800,0.362774,-9.744075,-0.780513
53938640,1763493606752108460,377706.642346,4128768,-0.000958,-0.002701,-0.002205,0.359721,-9.744143,-0.796408
54917100,1763493606753086882,377706.643346,4128768,0.001069,-0.001062,-0.000563,0.359736,-9.739378,-0.807505
55895559,1763493606754065360,377706.644346,4128768,-0.001818,0.000189,0.001068,0.362889,-9.737836,-0.802773
56875593,1763493606755045375,377706.645346,4128768,-0.001777,-0.000260,-0.002213,0.374086,-9.740934,-0.794744
57863978,1763493606756033760,377706.646346,4128768,-0.001406,0.000194,0.001862,0.367752,-9.736182,-0.799645
58863660,1763493606757033461,377706.647346,4128768,-0.001344,-0.001493,-0.001794,0.366121,-9.740932,-0.801203
60001489,1763493606758171271,377706.648346,4128768,-0.001780,-0.000662,-0.000970,0.377399,-9.753688,-0.805803
60996059,1763493606759165842,377706.649346,4128768,-0.000138,0.001416,-0.002628,0.367677,-9.747334,-0.794727
61975260,1763493606760145042,377706.650346,4128768,0.000262,-0.000647,-0.001388,0.381998,-9.740910,-0.802554
62954775,1763493606761124576,377706.651346,4128768,-0.001371,-0.001901,-0.002206,0.375579,-9.723338,-0.788453
63933271,1763493606762103072,377706.652346,4128768,-0.000544,-0.001902,-0.001801,0.372642,-9.755321,-0.804264
64913083,1763493606763082865,377706.653346,4128768,-0.002167,-0.002317,-0.003027,0.380567,-9.745754,-0.807387
65912190,1763493606764081972,377706.654346,4128768,-0.001775,-0.006005,-0.000546,0.385256,-9.747347,-0.802566
66890816,1763493606765060598,377706.655346,4128768,-0.004625,-0.003565,-0.003858,0.380348,-9.737722,-0.791519
67884257,1763493606766054058,377706.656346,4128768,0.002347,-0.001073,-0.005865,0.367625,-9.750546,-0.788385
68879068,1763493606767048869,377706.657346,4128768,-0.001812,-0.001049,0.001469,0.366119,-9.752134,-0.791564
69866046,1763493606768035847,377706.658346,4128768,-0.000161,0.001014,-0.000979,0.366097,-9.745802,-0.796353
71003079,1763493606769172862,377706.659346,4128768,-0.001369,-0.004348,0.000674,0.364556,-9.744223,-0.809086
71981428,1763493606770151228,377706.660346,4128768,-0.000162,-0.000638,0.000261,0.369374,-9.747383,-0.805884
72961072,1763493606771130855,377706.661346,4128768,0.001892,-0.001466,-0.000544,0.361471,-9.750546,-0.805939
73939532,1763493606772109314,377706.662346,4128768,-0.000981,-0.002687,-0.001390,0.361291,-9.736190,-0.796402
74932676,1763493606773102477,377706.663346,4128768,-0.003812,-0.001888,-0.001400,0.367814,-9.742613,-0.804369
75911136,1763493606774080937,377706.664346,4128768,0.000260,-0.004758,-0.001372,0.366079,-9.749018,-0.801093
76891021,1763493606775060785,377706.665346,4128768,0.001916,-0.001489,-0.002999,0.380369,-9.752133,-0.789830
77869166,1763493606776038948,377706.666346,4128768,-0.000980,-0.001884,-0.001378,0.369417,-9.748987,-0.807477
78866273,1763493606777036037,377706.667346,4128768,-0.000987,-0.001467,0.000660,0.369369,-9.739378,-0.804347
80003603,1763493606778173385,377706.668346,4128768,0.002727,0.000166,-0.003008,0.361356,-9.742568,-0.798058
80983247,1763493606779153048,377706.669346,4128768,0.004346,0.000612,-0.001353,0.377301,-9.740969,-0.802688
81976373,1763493606780146193,377706.670346,4128768,-0.000535,-0.001870,0.000256,0.382098,-9.748888,-0.807344
82954407,1763493606781124208,377706.671346,4128768,-0.000958,0.000585,-0.002234,0.370830,-9.747294,-0.785217
