monotonic_ns,timestamp_ns,temperature_c,status_crit,status_high,status_low
224409643722293,1763340322378442334,21.6875,1,0,0
224419644330151,1763340332379050228,21.6250,1,0,0
224429644994090,1763340342379714149,21.6875,1,0,0
224439645640953,1763340352380361030,21.6875,1,0,0
