timestamp,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
1760401650868809,0.000000000,0.000000000,0.000,0.608151,0.042216,-0.943761,0.000000,0.000000,0.000000
1760401650875783,0.000000000,0.000000000,0.000,0.608162,0.042215,-0.943765,0.000000,0.000000,0.000000
1760401650882895,0.000000000,0.000000000,0.000,0.608168,0.042215,-0.943764,0.000000,0.000000,0.000000
1760401650889823,0.000000000,0.000000000,0.000,0.608166,0.042215,-0.943763,0.000000,0.000000,0.000000
1760401650896940,0.000000000,0.000000000,0.000,0.608164,0.042212,-0.943764,0.000000,0.000000,0.000000
1760401650903867,0.000000000,0.000000000,0.000,0.608177,0.042209,-0.943768,0.000000,0.000000,0.000000
1760401650910807,0.000000000,0.000000000,0.000,0.608164,0.042214,-0.943766,0.000000,0.000000,0.000000
1760401650917925,0.000000000,0.000000000,0.000,0.608163,0.042214,-0.943762,0.000000,0.000000,0.000000
1760401650924796,0.000000000,0.000000000,0.000,0.608168,0.042208,-0.943765,0.000000,0.000000,0.000000
1760401650931888,0.000000000,0.000000000,0.000,0.608162,0.042212,-0.943766,0.000000,0.000000,0.000000
1760401650938809,0.000000000,0.000000000,0.000,0.608156,0.042218,-0.943775,0.000000,0.000000,0.000000
1760401650945928,0.000000000,0.000000000,0.000,0.608156,0.042213,-0.943779,0.000000,0.000000,0.000000
1760401650952844,0.000000000,0.000000000,0.000,0.608150,0.042210,-0.943768,0.000000,0.000000,0.000000
1760401650959794,0.000000000,0.000000000,0.000,0.608155,0.042209,-0.943770,0.000000,0.000000,0.000000
1760401650966803,0.000000000,0.000000000,0.000,0.608155,0.042209,-0.943766,0.000000,0.000000,0.000000
1760401650973909,0.000000000,0.000000000,0.000,0.608158,0.042212,-0.943767,0.000000,0.000000,0.000000
1760401650980881,0.000000000,0.000000000,0.000,0.608164,0.042212,-0.943766,0.000000,0.000000,0.000000
1760401650987811,0.000000000,0.000000000,0.000,0.608165,0.042214,-0.943766,0.000000,0.000000,0.000000
1760401650994908,0.000000000,0.000000000,0.000,0.608151,0.042217,-0.943764,0.000000,0.000000,0.000000
1760401651001854,0.000000000,0.000000000,0.000,0.608141,0.042218,-0.943764,0.000000,0.000000,0.000000
1760401651008794,0.000000000,0.000000000,0.000,0.608133,0.042214,-0.943755,0.000000,0.000000,0.000000
1760401651015884,0.000000000,0.000000000,0.000,0.608140,0.042222,-0.943749,0.000000,0.000000,0.000000
1760401651022901,0.000000000,0.000000000,0.000,0.608141,0.042220,-0.943748,0.000000,0.000000,0.000000
1760401651029922,0.000000000,0.000000000,0.000,0.608142,0.042213,-0.943747,0.000000,0.000000,0.000000
1760401651036865,0.000000000,0.000000000,0.000,0.608137,0.042217,-0.943753,0.000000,0.000000,0.000000
1760401651043794,0.000000000,0.000000000,0.000,0.608146,0.042221,-0.943750,0.000000,0.000000,0.000000
1760401651050729,0.000000000,0.000000000,0.000,0.608148,0.042220,-0.943743,0.000000,0.000000,0.000000
1760401651057824,0.000000000,0.000000000,0.000,0.608152,0.042219,-0.943736,0.000000,0.000000,0.000000
1760401651064825,0.000000000,0.000000000,0.000,0.608150,0.042220,-0.943736,0.000000,0.000000,0.000000
1760401651071755,0.000000000,0.000000000,0.000,0.608157,0.042215,-0.943735,0.000000,0.000000,0.000000
